media_id,band,container_tag,media_tag,slot,shape_policy,fit,mobile_profile,asset_w,asset_h,source,poster,mp4_fallback,loading,alt,title,autoplay,loop,muted,playsinline
montran-02,montran,div,img,,crop,contain,standard,733,504,https://freight.cargo.site/w/3200/q/90/i/J3029442176019925254992799774521/montran-sequence-2-retina.jpg,,,lazy,,,False,False,False,False
montran-03,montran,div,video,montran-icon-video,crop,contain,standard,400,400,https://freight.cargo.site/t/original/i/C3026651793472485332597365847865/montran-icon-animation.mp4,https://freight.cargo.site/t/original/i/G3031232346146176269795302356793/14-montran-icon-animation-poster.jpg,,,,,True,True,False,True
montran-04,montran,div,img,,artwork,contain,standard,690,442,https://freight.cargo.site/w/3200/q/90/i/H3029359532577333188093509416761/map-generator-retina.png,,,lazy,,,False,False,False,False
montran-05,montran,div,video,montran-csd-video,crop,contain,standard,403,504,https://freight.cargo.site/t/original/i/E3026651808137646871196459382585/Montran_CSD_RS_EN-noaudio.mp4,https://freight.cargo.site/t/original/i/Y3031232375033777489224460187449/15-Montran_CSD_RS_EN-noaudio-poster.jpg,,,,,True,True,False,True
montran-06,montran,div,img,,crop,contain,standard,695,391,https://freight.cargo.site/w/2782/q/90/i/M3029359532595779932167218968377/montran-last-retina.jpg,,,lazy,,,False,False,False,False
anyday-01,anyday,div,video,anyday-logo-video,crop,contain,standard,565,376,https://freight.cargo.site/t/original/i/E3028308676907686176066600744761/anyday-logo-slideshow-v3-h264.mp4,https://freight.cargo.site/t/original/i/P3031232402132044533503791511353/16-anyday-logo-slideshow-v3-h264-poster.jpg,,,,,True,True,True,True
anyday-02,anyday,div,video,anyday-money-video,crop,contain,standard,308,308,https://freight.cargo.site/t/original/i/L3028308691757315155402789795641/anyday-money-moments-h264.mp4,https://freight.cargo.site/t/original/i/T3031232431296346914038592616249/17-anyday-money-moments-h264-poster.jpg,,,,,True,True,True,True
anyday-03,anyday,div,video,anyday-hotel-video,crop,contain,standard,504,504,https://freight.cargo.site/t/original/i/G3028308706570050646591559743289/anyday-hotel-report-h264.mp4,https://freight.cargo.site/t/original/i/R3031232462416004166386606192441/18-anyday-hotel-report-h264-poster.jpg,,,,,True,True,True,True
anyday-04,anyday,div,img,,crop,contain,standard,435.3,378.9,https://freight.cargo.site/w/952/q/85/i/L3027048668493509838917526402873/anyday-image6.jpg,,,lazy,,,False,False,False,False
anyday-05,anyday,div,video,anyday-scroller-video,crop,contain,standard,351.9,469.2,https://freight.cargo.site/t/original/i/I3028308721419679625927748794169/anyday-scroller-h264.mp4,https://freight.cargo.site/t/original/i/M3031232490676416087309639268153/19-anyday-scroller-h264-poster.jpg,,,,,True,True,True,True
kelly-01,kelly,div,img,,crop,contain,standard,523.4,380.2,https://freight.cargo.site/w/1046/q/85/i/N3027049860337644441291656312633/kelly-sgc30-6.jpg,,,lazy,,,False,False,False,False
kelly-02,kelly,div,img,,crop,contain,standard,523.4,380.2,https://freight.cargo.site/w/1046/q/85/i/R3027049892102937736219504195385/kelly-sgc30-3.jpg,,,lazy,,,False,False,False,False
kelly-03,kelly,div,img,,crop,contain,standard,523.4,380.2,https://freight.cargo.site/w/1046/q/85/i/L3027050213316092291723926484793/kelly-sgc30-5.jpg,,,lazy,,,False,False,False,False
kelly-04,kelly,div,img,,crop,contain,standard,523.4,380.2,https://freight.cargo.site/w/1046/q/85/i/L3027050230656031721010905003833/kelly-sgc30-1.jpg,,,lazy,,,False,False,False,False
curate-01,curate,div,img,,crop,contain,standard,376,327,https://freight.cargo.site/w/752/q/85/i/Z3028481505928652286752455178041/curate-image2-v2.jpg,,,lazy,,,False,False,False,False
curate-02,curate,div,video,curate-image1-video,crop,contain,standard,894,504,https://freight.cargo.site/t/original/i/R3028308736250861861190228293433/curate-image1-vid-h264.mp4,https://freight.cargo.site/t/original/i/F3031232519896058700065569027897/20-curate-image1-vid-h264-poster.jpg,,,,,True,True,True,True
curate-03,curate,div,img,,crop,contain,standard,504,504,https://freight.cargo.site/w/1008/q/85/i/J3027050938125560435919628580665/curate-hf.jpg,,,lazy,,,False,False,False,False
curate-04,curate,div,img,,crop,contain,standard,462,402,https://freight.cargo.site/w/2200/q/90/i/K3029359532521992955872380761913/curate-last-retina.jpg,,,lazy,,,False,False,False,False
randompics-01,randompics,div,video,randompics-video,crop,contain,standard,432,667.2,https://freight.cargo.site/t/original/i/L3028308751008257120157869586233/randompics-slideshow-h264.mp4,https://freight.cargo.site/t/original/i/F3031232547566174810629896451897/21-randompics-slideshow-h264-poster.jpg,,,,,True,True,True,True
purelove-01,purelove,div,img,,crop,contain,standard,627.2,783.9,https://freight.cargo.site/w/1254/q/85/i/I3028246618297486426098215991097/purelove-1.jpg,,,lazy,,,False,False,False,False
purelove-02,purelove,div,img,,crop,contain,standard,544.3,680,https://freight.cargo.site/w/1088/q/85/i/Q3028246916120169496138926831417/purelove-2.jpg,,,lazy,,,False,False,False,False
purelove-03,purelove,div,img,,crop,contain,standard,440,550,https://freight.cargo.site/w/880/q/85/i/G3028246944196113976324864390969/purelove-3.jpg,,,lazy,,,False,False,False,False
purelove-04,purelove,div,img,,artwork,contain,standard,873,680,https://freight.cargo.site/w/1746/q/85/i/S3028289855602474049842539181881/purelove-4-v2.png,,,lazy,,,False,False,False,False
purelove-05,purelove,div,video,purelove-flash-video,crop,contain,standard,336.3,448.4,https://freight.cargo.site/t/original/i/S3028279585838879613892415764281/purelove-flash.mp4,https://freight.cargo.site/t/original/i/N3031232577062518584491469485881/22-purelove-flash-poster.jpg,,,,,True,True,True,True
deadgood-01,deadgood,div,img,,crop,contain,standard,411.3,358,https://freight.cargo.site/t/original/i/K3028244189709842145940907538233/dg-image2.gif,,,lazy,,,False,False,False,False
deadgood-02,deadgood,div,img,,crop,contain,deadgood-wide,894.4,504,https://freight.cargo.site/w/1788/q/85/i/A3028247346261347806898251413305/dg-image4.jpg,,,lazy,,,False,False,False,False
